Name,Category,Format & Duration,Instructions,Equipment Needed,Muscle Groups,Training Goals
"""Abbate""",Hero WOD,For Time (With 20/14 lb Vest optional),"Run 1 Mile, 21 Clean and Jerks ((70/50 kgs)), Run 800m, 21 Clean and Jerks ((70/50 kgs)), Run 400m, 21 Clean and Jerks ((70/50 kgs)).","Barbell, Weight Vest (Optional)","Full Body, Power, Cardio","Strength Endurance, Pacing"
"""Wittman""",Hero WOD,7 Rounds For Time,"15 Kettlebell Swings (24/16 kg), 15 Power Cleans ((45/30 kgs)), 15 Box Jumps (24/20 in).","Kettlebell, Barbell, Box","Full Body, High Reps","Conditioning, Lactic Acid Tolerance"
"""Hansen""",Hero WOD,5 Rounds For Time,"30 Kettlebell Swings (2pood/1.5pood), 30 Burpees, 30 GHD Sit-ups.","Kettlebell, GHD Machine","Full Body, Hips, Core","Strength Endurance, High Volume Core"
"""DT""",Hero WOD,5 Rounds For Time,"12 Deadlifts ((70/50 kgs)), 9 Hang Power Cleans ((70/50 kgs)), 6 Push Jerks ((70/50 kgs)).",Barbell (70/50 kgs),"Full Body Strength, Power","Barbell Cycling, Strength Stamina"
"""Holleyman""",Hero WOD,30 Rounds For Time,"5 Wall Balls ((10/5 kgs)), 3 Handstand Push-ups, 1 Power Clean ((100/70 kgs)).","Wall Ball, Wall, Barbell","Full Body, Heavy, Gymnastics","Strength Endurance, Work Capacity"
"""J.T.""",Hero WOD,For Time,"21-15-9 Reps of: Handstand Push-ups, Ring Dips, Push-ups.","Wall, Rings","Upper Body Push, Gymnastics",Strength Stamina
"""Luce""",Hero WOD,For Time (10 Rounds),"1 Kettlebell Turkish Get-up ((20/10 kgs), 5 per arm), 10 Squat Cleans ((60/45 kgs)), 15 Two-Pood Kettlebell Swings (2pood/1.5pood).","Kettlebell (Light & Heavy), Barbell","Full Body, Stability, Power","Strength Endurance, Technical Focus"
"""The Lyon""",Hero WOD,7 Rounds of,"10 Deadlifts ((100/70 kgs)), 10 Strict Handstand Push-ups (or regular), 10 Toes-to-Bar.","Barbell, Wall, Pull-up Bar","Posterior Chain, Shoulders, Core","Strength, Gymnastic Stamina"
"""T.J.""",Hero WOD,10 Rounds For Time,"10 Deadlifts ((85/60 kgs)), 10 Box Jumps (24/20 in), 10 Barbell Lunges ((85/60 kgs)).","Barbell, Box","Legs, Posterior Chain, Cardio","Strength Endurance, Volume Tolerance"
"""Bull""",Hero WOD,2 Rounds For Time,"200 Double Unders, 50 Overhead Squats ((60/45 kgs)), 50 Pull-ups, 1 Mile Run.","Jump Rope, Barbell, Pull-up Bar","Full Body, Skill, Endurance","Aerobic Capacity, Skill Under Fatigue"
"""Capoot""",Hero WOD,For Time,"100 Box Jump Overs (24/20 in), 50 Dumbbell Push Press ((20/15 kgs)), 100 Jump Rope Double Unders (200 Singles).","Box, 2 Dumbbells, Jump Rope","Hips, Shoulders, Cardio","Pacing, High Volume"
"""Dillon""",Hero WOD,10 Rounds For Time,"4 Strict Pull-ups, 4 Strict Handstand Push-ups (or Pike), 8 Toes-to-Bar, 8 Kettlebell Swings (24/16 kg).","Pull-up Bar, Wall, Kettlebell","Upper Body, Core, Hips","Strict Strength, Gymnastic Quality"
"""Jack""",Hero WOD,AMRAP in 20 Minutes,"10 Push Presses ((50/35 kgs)), 10 Kettlebell Swings (24/16 kg), 10 Box Jumps (24/20 in).","Barbell, Kettlebell, Box","Full Body, Power",High-Intensity Work Capacity
"""McCoy""",Hero WOD,3 Rounds For Time,"800m Run, 30 Push-ups, 30 Overhead Squats ((45/30 kgs)).","Barbell, Running Space","Cardio, Shoulders, Legs","Aerobic Stamina, Overhead Stability"
"""Raskin""",Hero WOD,3 Rounds For Time,"50 Dumbbell Squat Snatch ((20/10 kgs)), 50 Sit-ups, 50 Box Jumps (24/20 in).","Single Dumbbell, Box","Full Body, Power, Core","Muscular Endurance, Speed"
"""Handstand Skill AMRAP""",Gymnastics/Skill,AMRAP in 10 Minutes,"50 ft Handstand Walk (or 2 Wall Walks), 10 Pistol Squats (alternating), 15 Box Jumps (24/20 in).","Wall, Box","Shoulders, Legs, Balance","Skill Under Fatigue, Coordination"
"""Tabata Thrusters""",AMRAP/Interval,Tabata (4 Minutes),"8 Rounds of: 20 seconds work, 10 seconds rest. Max reps of Thrusters ((35/25 kgs)). Score is total reps.",Barbell (35/25 kgs),"Legs, Shoulders, Cardio","Anaerobic Power, Muscle Tolerance"
"""Ring Muscle-Up Focus""",Gymnastics/Skill,EMOM for 15 Minutes,Odd: 1-3 Ring Muscle-Ups. Even: 10/8 Calorie Row (for penalty if MUs failed).,"Rings, Rower","Upper Body Pull/Push, Skill","Consistency, Skill Acquisition"
"""Bike Sprint EMOM""",EMOM/Pacing,EMOM for 20 Minutes,Odd: Max Distance Bike in 30 seconds. Even: 10 Burpees.,Bike,"Cardio, Hips","High Power Output, Recovery"
"""Overhead Lunge & Snatch""",Dumbbell/Kettlebell,For Time (3 Rounds),"20 Dual Dumbbell Overhead Lunges ((20/10 kgs)), 10 Dumbbell Power Snatches (5 per arm).",2 Dumbbells,"Legs, Shoulders, Core Stability","Unilateral Strength, Pacing"
"""5-Minute Burner""",AMRAP/Interval,AMRAP in 5 Minutes,"5 Hang Power Cleans ((60/45 kgs)), 10 Toes-to-Bar.","Barbell, Pull-up Bar","Hips, Core, Power","Max Effort, Anaerobic Capacity"
"""Heavy Back Squat EMOM""",Barbell/Weightlifting,EMOM for 12 Minutes,3 Back Squats (70% 1RM). Focus on excellent form and speed.,"Barbell, Squat Rack",Strength,"Strength Consistency, Technique"
"""Row/Burpee Ladder""",Monostructural/Cardio,For Time (10-20-30-40-50),Burpees. Row 250m after each set.,Rower,"Cardio, Full Body","Muscular Endurance, Pacing"
"""Strict Press & DL Cycle""",Barbell/Weightlifting,5 Rounds For Time,"5 Strict Press ((45/30 kgs)), 10 Deadlifts ((85/60 kgs)), 15 V-Ups.",Barbell,"Shoulders, Posterior Chain, Core","Strength Stamina, Midline Endurance"
"""The Kettlebell Triplet""",Dumbbell/Kettlebell,AMRAP in 16 Minutes,"10 Goblet Reverse Lunges (24/16 kg, 5 per leg), 10 American Kettlebell Swings, 10 Push-ups.",Kettlebell,"Legs, Hips, Chest",Muscular Endurance
"""Pistol & Strict Pull-up""",Gymnastics/Skill,For Time (5 Rounds),"5 Strict Pull-ups, 10 Alternating Pistol Squats.",Pull-up Bar,"Upper Body, Legs, Skill","Relative Strength, Balance"
"""Burpee Box Jump EMOM""",EMOM/Pacing,EMOM for 12 Minutes,6 Burpee Box Jump Overs (24/20 in).,Box,"Hips, Cardio, Explosive","Power Output, Consistency"
"""Dumbbell Man Maker Test""",Dumbbell/Kettlebell,For Time (3 Rounds),"10 Man Makers (DB Push-up, Row x2, Squat Clean Thruster), 200m Run.",2 Dumbbells (Medium),"Full Body, Core, Cardio","Strength Endurance, Complex Movement"
"""Ski & Toes-to-Bar""",Monostructural/Cardio,10 Rounds For Time,"10/7 Calorie Ski, 7 Toes-to-Bar.","Ski Erg, Pull-up Bar","Core, Cardio, Hips",High-Intensity Intervals
"""High-Rep Thruster AMRAP""",Barbell/Weightlifting,AMRAP in 10 Minutes,"10 Thrusters ((35/25 kgs)), 10 Burpees over Bar.",Barbell,"Legs, Shoulders, Hips","Lactic Acid Tolerance, Speed"
"""Wall Walk & Air Bike""",Gymnastics/Skill,5 Rounds For Time,"3 Wall Walks, 15/12 Calorie Bike.","Wall, Bike","Shoulders, Core, Cardio",Strength/Cardio Hybrid
"""30 Second Sprint EMOM""",EMOM/Pacing,EMOM for 15 Minutes,Odd: Max Reps Double Unders in 30 seconds. Even: Max Reps Hand Release Push-ups in 30 seconds.,Jump Rope,"Coordination, Chest, Cardio","Anaerobic Speed, Transition"
"""Weighted Vest Run & Pull""",Grind/Endurance,For Time (3 Rounds),"400m Run (with 20/14 lb Vest), 15 Chest-to-Bar Pull-ups.","Weight Vest, Pull-up Bar","Legs, Cardio, Back","Weighted Stamina, Muscular Fatigue"
"""Power Clean Pyramid""",Barbell/Weightlifting,For Time (15-12-9-6-3),"Power Cleans ((60/45 kgs)), 5 Strict Pull-ups (after each set).","Barbell, Pull-up Bar","Hips, Back, Power","Strength Endurance, Barbell Cycling"
"""Carry & Air Squat""",Dumbbell/Kettlebell,AMRAP in 17 Minutes,"50 ft Dual Kettlebell Farmer's Carry (Heavy), 20 Air Squats, 10 Push-ups.",2 Heavy Kettlebells,"Grip, Core, Legs, Chest","Grip Stamina, Muscular Endurance"
"""Travel Burpee Challenge""",Bodyweight/Travel,For Time,100 Burpees. Perform 5 Air Squats Every Minute on the Minute (starting at 0:00).,None (Bodyweight),"Full Body, Cardio","Mental Toughness, Pacing"
"""The Long Row""",Monostructural/Cardio,For Time,"5000m Row. Every 1000m, perform 20 GHD Sit-ups.","Rower, GHD Machine","Cardio, Core","Aerobic Endurance, Midline Strength"
"""Barbell Thruster EMOM""",EMOM/Pacing,EMOM for 10 Minutes,8 Thrusters ((45/30 kgs)).,Barbell (45/30 kgs),"Legs, Shoulders, Cardio","Power, Lactate Tolerance"
"""Squat Snatch & Burpee""",Barbell/Weightlifting,7 Rounds For Time,"3 Squat Snatches ((50/35 kgs)), 5 Burpee Box Jump Overs.","Barbell, Box","Power, Coordination, Hips",Weightlifting Consistency
"""Heavy Deadlift & HSPU""",Barbell/Weightlifting,3 Rounds For Time,"10 Deadlifts ((145/100 kgs)), 10 Handstand Push-ups.","Barbell, Wall","Posterior Chain, Shoulders, Strength",Maximal Strength Endurance
"""The 30-Minute Grind""",Grind/Endurance,AMRAP in 30 Minutes,"15 Wall Balls ((10/5 kgs)), 10 Clean and Jerks ((60/45 kgs)), 50 Double Unders.","Wall Ball, Barbell, Jump Rope","Full Body, Stamina","Volume Tolerance, Consistent Pacing"
"""Pyramid Down""",AMRAP/Interval,For Time (10-9-8...1),Barbell Thrusters ((45/30 kgs)). Perform 10 Burpees after each set.,Barbell,"Full Body, Hips, Cardio","High Intensity, Lactic Threshold"
"""Heavy Dumbbell Endurance""",Dumbbell/Kettlebell,For Time (5 Rounds),"15 Dumbbell Hang Clean & Jerks (Heavy), 400m Run.",2 Heavy Dumbbells,"Full Body, Power, Cardio","Strength Endurance, Locomotor Pacing"
"""Row/Run/Bike Relay""",Monostructural/Cardio,For Time (3 Rounds),"500m Row, 800m Run, 40 Calorie Bike. Must complete all three stations before starting the next round.","Rower, Running Space, Bike",Cardiovascular System,"Aerobic Stamina, Machine Pacing"
"""The 100 Rep Test""",Barbell/Weightlifting,For Time,100 Power Cleans ((45/30 kgs)). Perform 5 Strict Push-ups every time the bar is dropped.,Barbell (45/30 kgs),"Hips, Back, Power","Barbell Cycling, Grip Endurance"
"""Death By Wall Ball""",EMOM/Pacing,EMOM (Increasing Reps),Minute 1: 5 Wall Balls ((10/5 kgs)). Minute 2: 6 Wall Balls. Minute 3: 7 Wall Balls... Continue until unable to complete the required reps in the minute.,Wall Ball,"Legs, Shoulders, Cardio","Muscular Endurance, Lactic Acid Tolerance"
"""Gymnastic Couple""",Gymnastics/Skill,For Time (5 Rounds),"10 Chest-to-Bar Pull-ups, 10 Ring Dips, 10 Pistols (alternating).","Pull-up Bar, Rings","Upper Body Pull/Push, Legs","Gymnastic Stamina, Relative Strength"
"""Dumbbell Sprint""",AMRAP/Interval,AMRAP in 10 Minutes,"10 Dumbbell Push Press ((25/15 kgs)), 10 Toes-to-Bar, 10 Kettlebell Swings (24/16 kg).","Dumbbell, Pull-up Bar, Kettlebell","Shoulders, Core, Hips","High Speed, Anaerobic Capacity"
"""Overhead Carry Grinder""",Grind/Endurance,For Time (15-12-9 Reps),"Overhead Squats ((60/45 kgs)), with 100 ft Single Arm Farmer's Carry (Heavy KB) after each set.","Barbell, Heavy Kettlebell","Core Stability, Shoulders, Grip","Mobility, Strength Stamina"
"""The Running Clock""",Monostructural/Cardio,EMOM for 30 Minutes,Odd: 15/12 Calorie Bike. Even: 400m Run.,"Bike, Running Space",Cardiovascular System,"Aerobic Power, Pacing Strategy"
"""Heavy Deadlift Hold""",Barbell/Weightlifting,5 Rounds For Time,"5 Deadlifts (85% 1RM), 1 minute Plank Hold (weighted optional).",Heavy Barbell,"Posterior Chain, Core","Strength, Isometric Endurance"
"""Bodyweight Max Rep""",Bodyweight/Travel,For Time (3 Rounds),"1 minute Max Rep Push-ups, 1 minute Max Rep Sit-ups, 1 minute Max Rep Air Squats. 1 minute rest between rounds.",None (Bodyweight),Full Body,"Muscular Endurance, Max Effort"
"""Snatch & OHS Endurance""",Barbell/Weightlifting,10 Rounds For Time,"3 Squat Snatches ((45/30 kgs)), 5 Overhead Squats ((45/30 kgs)).",Barbell (45/30 kgs),"Hips, Shoulders, Core","Technical Stamina, Barbell Cycling"
"""The 40-Minute Endurance""",Grind/Endurance,For Time,"40 Calorie Row, 40 Wall Balls, 40 GHD Sit-ups, 40 Burpees, 40 Pull-ups, 40 Ring Dips. (Complete in order).","Rower, WB, GHD, Bar/Rings","Full Body, High Volume","Mental Toughness, Pacing"
"""Travel Cardio Triplet""",Bodyweight/Travel,AMRAP in 20 Minutes,"5 Burpees, 10 Box Jumps (or Step-ups), 50 Double Unders.","Jump Rope, Box/Bench","Cardio, Hips","Speed, Movement Efficiency"
"""Clean & Jerk EMOM""",EMOM/Pacing,EMOM for 12 Minutes,2 Clean & Jerks ((70/50 kgs)).,Barbell (70/50 kgs),"Power, Strength",Weightlifting Consistency
"""Rope Climb Repeater""",Gymnastics/Skill,For Time (5 Rounds),"3 Rope Climbs (Legless optional), 15 Dumbbell Thrusters ((20/10 kgs)).","Rope, 2 Dumbbells","Upper Body Pulling, Hips, Legs","Strength Skill, Anaerobic Power"
"""Kettlebell Swing Pyramid""",Dumbbell/Kettlebell,For Time (10-20-30-20-10 Reps),"American Kettlebell Swings (24/16 kg), with 5 Strict Push-ups after each set.",Kettlebell,"Hips, Chest, Shoulders","Muscular Endurance, Consistency"
"""Half Marathon Prep""",Monostructural/Cardio,For Time,"10,000m Row (or 5000m Ski-Erg).",Rower/Ski Erg,Aerobic Capacity,"Sustained Pacing, Mental Discipline"
"""Heavy Power Clean Ladder""",Barbell/Weightlifting,For Time (1-2-3-4-5-4-3-2-1 Reps),Power Cleans ((85/60 kgs)). Perform 5 Burpees Over Bar after each set.,Barbell (85/60 kgs),"Power, Hips, Cardio","Strength Endurance, Explosiveness"
"""Push/Pull Interval""",AMRAP/Interval,"3 Rounds: 5 Minutes Work, 1 Minute Rest","5 Handstand Push-ups, 10 Pull-ups, 15 Wall Balls. Score is total rounds/reps.","Wall, Pull-up Bar, Wall Ball","Shoulders, Back, Legs","High Power Output, Gymnastic Stamina"
"""Ring Row & Lunge""",Bodyweight/Travel,AMRAP in 18 Minutes,"10 Ring Rows (or Towel Rows), 20 Walking Lunges (per leg), 10 Sit-ups.","Rings/Towel, None","Back, Legs, Core","Muscular Endurance, Back Strength"
"""Overhead Carry EMOM""",EMOM/Pacing,EMOM for 16 Minutes,Odd: 100 ft Overhead Barbell Walk (light/medium weight). Even: 10 Bar Facing Burpees.,Barbell,"Shoulders, Core Stability, Cardio","Midline Control, Pacing"
"""The Endurance Chipper""",Grind/Endurance,For Time (100 Reps Each),"100 Double Unders, 100 Air Squats, 100 Sit-ups, 100 Push-ups.",Jump Rope,"Full Body, High Volume","Stamina, Mental Toughness"
"""The 40-Minute Partner""",Grind/Endurance,AMRAP in 40 Minutes (Teams of 2),"Partner A runs 400m while Partner B completes max reps of: 5 Pull-ups, 10 Push-ups, 15 Squats. Score is total rounds/reps.","Pull-up Bar, Running Space","Full Body, Stamina, Teamwork","Aerobic Endurance, Consistent Output"
"""The Skill Switch""",Gymnastics/Skill,EMOM for 15 Minutes,Min 1: 5 Strict Handstand Push-ups. Min 2: 5 Ring Muscle-Ups. Min 3: 15 V-Ups.,"Wall, Rings","Upper Body Push/Pull, Core","Skill Consistency, Gymnastic Stamina"
"""Row/Clean Duet""",Barbell/Weightlifting,For Time (5 Rounds),"20/15 Calorie Row, 10 Squat Cleans ((60/45 kgs)).","Rower, Barbell (60/45 kgs)","Hips, Legs, Power, Cardio","Strength Endurance, Pacing"
"""Dumbbell Assault""",Dumbbell/Kettlebell,AMRAP in 15 Minutes,"10 Dumbbell Thrusters ((25/15 kgs)), 15 Dumbbell Hang Power Cleans, 20 Box Step-ups (no weight).","2 Dumbbells, Box","Full Body, Hips, Shoulders","Power Endurance, High Volume"
"""Metcon Madness""",AMRAP/Interval,AMRAP in 20 Minutes,"15 Wall Balls, 10 Burpees, 5 Deadlifts ((100/70 kgs)).","Wall Ball, Barbell (100/70 kgs)","Full Body, Explosive, Strength","Work Capacity, Consistency"
"""The Long Machine""",Monostructural/Cardio,For Time,"2000m Row, 2000m Ski-Erg, 2000m Bike. Rest 2 minutes between machines.","Rower, Ski Erg, Bike",Cardiovascular System,"Aerobic Pacing, Recovery"
"""Barbell Repeater""",EMOM/Pacing,EMOM for 16 Minutes,Odd: 5 Power Snatches ((50/35 kgs)). Even: 10 Chest-to-Bar Pull-ups.,"Barbell, Pull-up Bar","Power, Back, Shoulders","Technical Consistency, Gymnastic Stamina"
"""Bodyweight Max Out""",Bodyweight/Travel,For Time (10 Rounds),"10 Burpees, 10 Push-ups, 10 Pull-ups (or Ring Rows), 10 Air Squats.",Pull-up Bar (optional Rings),Full Body,"Muscular Endurance, Consistency"
"""Kettlebell Skill Flow""",Dumbbell/Kettlebell,For Time (3 Rounds),"10 Turkish Get-ups ((20/10 kgs), 5 per arm), 20 American Kettlebell Swings (24/16 kg).",Single Kettlebell,"Core Stability, Shoulders, Hips","Strength Skill, Stamina"
"""Weighted Step-up Grind""",Grind/Endurance,For Time (100 Reps),"100 Weighted Box Step-ups (50/35 lb DBs). Every time you break, perform 10 Sit-ups.","2 Dumbbells, Box","Legs, Cardio, Core","Leg Stamina, Grip Endurance"
"""The Running Test""",Monostructural/Cardio,For Time,3 x 800m Run. Rest 1:1 (rest time equals your 800m time).,Running Space,Cardiovascular System,"Pacing, Speed Endurance"
"""HSPU & Pistols""",Gymnastics/Skill,21-15-9 Reps For Time,"Handstand Push-ups, Alternating Pistol Squats.",Wall,"Shoulders, Legs, Balance","Relative Strength, Skill"
"""High-Rep Hang Cleans""",Barbell/Weightlifting,AMRAP in 12 Minutes,"15 Hang Power Cleans ((45/30 kgs)), 15 Burpees.",Barbell (45/30 kgs),"Hips, Cardio, Power","Barbell Cycling, Lactic Tolerance"
"""Strict Core EMOM""",EMOM/Pacing,EMOM for 15 Minutes,Odd: Max L-Sit Hold (min 15 seconds). Even: 15 GHD Sit-ups (or V-ups).,"Parallettes/Rings/Mat, GHD (or None)",Core Strength,"Isometric Endurance, Midline Stability"
"""The Long Chipper II""",Grind/Endurance,For Time (30 min Cap),"100 Wall Balls, 80 Dumbbell Snatches ((25/15 kgs)), 60 Box Jumps, 40 Ring Rows, 20 Burpee Box Jump Overs.","WB, DB, Box, Rings/Bar","Full Body, High Volume","Pacing, Mental Toughness"
"""Thruster Penalty""",AMRAP/Interval,AMRAP in 15 Minutes,"10 Thrusters ((50/35 kgs)). If you stop or break the set of 10, perform 5 Burpees.",Barbell (50/35 kgs),"Legs, Shoulders, Cardio","Pacing, Consistency Under Fatigue"
"""Double Kettlebell Squats""",Dumbbell/Kettlebell,For Time (5 Rounds),"10 Dual Kettlebell Front Rack Squats (Heavy), 15 Toes-to-Bar.","2 Heavy Kettlebells, Pull-up Bar","Legs, Core, Gymnastics","Strength Endurance, Front Rack Mobility"
"""Barbell & Run Intervals""",Monostructural/Cardio,"6 Rounds, 2 Minutes Work, 1 Minute Rest","Max Reps of: 5 Deadlifts ((85/60 kgs)), 5 Hang Power Cleans ((60/45 kgs)). Run 200m immediately after the 2 minutes.","Barbell, Running Space","Strength, Cardio","Power Output, Aerobic Recovery"
"""5-Minute Max""",Barbell/Weightlifting,For Time (10-9-8-7-6-5-4-3-2-1 Reps),Squat Cleans ((60/45 kgs)). 5 Minute Time Cap.,Barbell (60/45 kgs),"Power, Hips",Barbell Cycling Speed
"""The Strict Complex""",Gymnastics/Skill,EMOM for 10 Minutes,Odd: 3 Strict Pull-ups + 3 Strict Toes-to-Bar. Even: 3 Strict Dips + 3 Strict Press ((45/30 kgs)).,"Pull-up Bar, Rings/Parallettes, Barbell","Upper Body, Core",Strict Strength Consistency
"""Triple Double-Under""",Bodyweight/Travel,For Time (15-12-9 Reps),"Burpee Pull-ups (or Burpees), 3x Double Unders (i.e., 45-36-27).","Pull-up Bar (optional), Jump Rope","Full Body, Coordination","Skill Under Fatigue, Anaerobic Capacity"
"""Weighted Carry Repeater""",Dumbbell/Kettlebell,AMRAP in 18 Minutes,"50 ft Farmer's Carry (Heavy), 50 ft Overhead Carry (Medium), 10 Push Press ((45/30 kgs)).","KB/DB (Heavy & Medium), Barbell","Core Stability, Grip, Shoulders","Strength Endurance, Midline Control"
"""Bike/Run/Row Pyramid""",Monostructural/Cardio,For Time (30-20-10-20-30 Cal),"Bike (Cals), Row (Cals), Ski (Cals). Complete one machine fully before moving to the next.","Bike, Rower, Ski Erg",Cardiovascular System,"Aerobic Pacing, Transition"
"""The Partner Clock""",EMOM/Pacing,EMOM for 20 Minutes (Teams of 2),Partner A completes 10 Burpees. Partner B holds a Deadlift ((85/60 kgs)). Switch roles at the top of the next minute.,Barbell (85/60 kgs),"Full Body, Core, Hips","Teamwork, Strength Hold"
"""Strict Chipper""",Gymnastics/Skill,For Time,"25 Strict Pull-ups, 50 Strict Push-ups, 75 Strict Sit-ups, 100 Air Squats.",None (Bodyweight),"Full Body, Strength","Muscular Endurance, Strict Control"
"""The Omega""",Grind/Endurance,For Time (50-60 Minute Cap),"5 Rounds of: 10 Clean & Jerks ((70/50 kgs)), 20 Bar Muscle-Ups (or 30 C2B), 30 Alternating Pistol Squats. THEN: 1 Mile Run (with 20/14 lb Vest optional).","Barbell, Pull-up Bar, Weight Vest (Optional)","Full Body, Gymnastics, Strength, Cardio","Maximal Strength Endurance, High-Skill Volume, Mental Toughness"
